County,Date,Total P
Imperial,2004,3
Imperial,2005,6.49
Imperial,2006,4.03
Imperial,2007,1.13
Imperial,2008,2.8
Imperial,2009,2.5
Imperial,2010,4.08
Imperial,2011,3.54
Imperial,2012,2.54
Imperial,2013,3.24
Imperial,2014,2.82
Imperial,2015,2.42
Imperial,2016,2.79
Imperial,2017,3.23
Imperial,2018,1.88
Imperial,2019,2.55
San Diego,2004,12.29
San Diego,2005,19.01
San Diego,2006,12.41
San Diego,2007,9.28
San Diego,2008,12.13
San Diego,2009,9.76
San Diego,2010,13.76
San Diego,2011,19.04
San Diego,2012,12.54
San Diego,2013,10.64
San Diego,2014,6.44
San Diego,2015,8.53
San Diego,2016,12.51
San Diego,2017,14.92
San Diego,2018,9.56
San Diego,2019,10.06
Riverside ,2004,8.21
Riverside ,2005,14.67
Riverside ,2006,9.24
Riverside ,2007,4.4
Riverside ,2008,7.41
Riverside ,2009,5.75
Riverside ,2010,9.65
Riverside ,2011,8.74
Riverside ,2012,6.27
Riverside ,2013,7.01
Riverside ,2014,3.9
Riverside ,2015,5.95
Riverside ,2016,7
Riverside ,2017,9.81
Riverside ,2018,5.14
Riverside ,2019,6.56